train data: small + change data
momentum
lambda = 0.900000
mu = 0.01
mu *= 0.9999batch_size = 256
batch_num = 1024
3 layers: 69-256-256-481, cost: 1.009855
285, cost: 0.597647
286, cost: 0.594276
287, cost: 0.594260
288, cost: 0.593118
289, cost: 0.592671
290, cost: 0.591809
291, cost: 0.603900
292, cost: 0.602532
293, cost: 0.600484
294, cost: 0.600115
295, cost: 0.598477
296, cost: 0.595901
297, cost: 0.596007
298, cost: 0.594924
299, cost: 0.594047
300, cost: 0.592084
301, cost: 0.601413
302, cost: 0.597966
303, cost: 0.595707
304, cost: 0.593767
305, cost: 0.594317
306, cost: 0.591804
307, cost: 0.592644
308, cost: 0.591820
309, cost: 0.589589
310, cost: 0.589684
311, cost: 0.596928
312, cost: 0.593544
313, cost: 0.590593
314, cost: 0.589809
315, cost: 0.591973
316, cost: 0.589404
317, cost: 0.588539
318, cost: 0.586664
319, cost: 0.586692
320, cost: 0.586774
321, cost: 0.602378
322, cost: 0.599964
323, cost: 0.597413
324, cost: 0.594610
325, cost: 0.593743
326, cost: 0.594518
327, cost: 0.591741
328, cost: 0.590965
329, cost: 0.590479
330, cost: 0.591245
331, cost: 0.598157
332, cost: 0.594256
333, cost: 0.591853
334, cost: 0.590633
335, cost: 0.588307
336, cost: 0.587392
337, cost: 0.588170
338, cost: 0.588535
339, cost: 0.585537
340, cost: 0.584610
341, cost: 0.598715
342, cost: 0.593909
343, cost: 0.593433
344, cost: 0.590151
345, cost: 0.591447
346, cost: 0.587969
347, cost: 0.587779
348, cost: 0.586752
349, cost: 0.587799
350, cost: 0.586190
351, cost: 0.591300
352, cost: 0.592514
353, cost: 0.588361
354, cost: 0.588520
355, cost: 0.585664
356, cost: 0.586668
357, cost: 0.585868
358, cost: 0.586499
359, cost: 0.582235
360, cost: 0.582738
361, cost: 0.594584
362, cost: 0.590624
363, cost: 0.589456
364, cost: 0.585861
365, cost: 0.585692
366, cost: 0.585721
367, cost: 0.584976
368, cost: 0.583391
369, cost: 0.583128
370, cost: 0.583311
371, cost: 0.596508
372, cost: 0.593818
373, cost: 0.591900
374, cost: 0.591413
375, cost: 0.589305
376, cost: 0.586744
377, cost: 0.587809
378, cost: 0.588226
379, cost: 0.584504
380, cost: 0.584425
381, cost: 0.593962
382, cost: 0.589456
383, cost: 0.588638
384, cost: 0.585484
385, cost: 0.587368
386, cost: 0.585195
387, cost: 0.584736
388, cost: 0.583413
389, cost: 0.581507
390, cost: 0.580864
391, cost: 0.593238
392, cost: 0.589005
393, cost: 0.586267
394, cost: 0.584937
395, cost: 0.585702
396, cost: 0.583361
397, cost: 0.583323
398, cost: 0.580160
399, cost: 0.581105
400, cost: 0.579232
401, cost: 0.590286
402, cost: 0.586657
403, cost: 0.586689
404, cost: 0.583530
405, cost: 0.583415
406, cost: 0.580634
407, cost: 0.582026
408, cost: 0.579744
409, cost: 0.580683
410, cost: 0.578126
411, cost: 0.590313
412, cost: 0.587154
413, cost: 0.586181
414, cost: 0.584856
415, cost: 0.582011
416, cost: 0.581974
417, cost: 0.581577
418, cost: 0.582711
419, cost: 0.579323
420, cost: 0.576624
421, cost: 0.587513
422, cost: 0.584913
423, cost: 0.583527
424, cost: 0.582482
425, cost: 0.580383
426, cost: 0.579860
427, cost: 0.578374
428, cost: 0.576994
429, cost: 0.576898
430, cost: 0.575842
431, cost: 0.588985
432, cost: 0.586035
433, cost: 0.585082
434, cost: 0.581950
435, cost: 0.583118
436, cost: 0.579117
437, cost: 0.579977
438, cost: 0.578154
439, cost: 0.578302
440, cost: 0.575399
441, cost: 0.588007
442, cost: 0.584600
443, cost: 0.581326
444, cost: 0.581955
445, cost: 0.579428
446, cost: 0.576692
447, cost: 0.578039
448, cost: 0.576132
449, cost: 0.576003
450, cost: 0.574996
451, cost: 0.586778
452, cost: 0.583208
453, cost: 0.582282
454, cost: 0.582690
455, cost: 0.580859
456, cost: 0.578829
457, cost: 0.579806
458, cost: 0.577193
459, cost: 0.575655
460, cost: 0.575724
461, cost: 0.588944
462, cost: 0.584709
463, cost: 0.582618
464, cost: 0.581333
465, cost: 0.579256
466, cost: 0.578820
467, cost: 0.578065
468, cost: 0.575787
469, cost: 0.578663
470, cost: 0.575605
471, cost: 0.587146
472, cost: 0.584919
473, cost: 0.583751
474, cost: 0.580185
475, cost: 0.579074
476, cost: 0.577938
477, cost: 0.577707
478, cost: 0.577087
479, cost: 0.575060
480, cost: 0.573418
481, cost: 0.586791
482, cost: 0.583782
483, cost: 0.582285
484, cost: 0.579674
485, cost: 0.578361
486, cost: 0.576160
487, cost: 0.574857
488, cost: 0.574871
489, cost: 0.574440
490, cost: 0.571504
491, cost: 0.584871
492, cost: 0.578526
493, cost: 0.577467
494, cost: 0.574765
495, cost: 0.574562
496, cost: 0.573388
497, cost: 0.572845
498, cost: 0.571523
499, cost: 0.568890
500, cost: 0.569718
501, cost: 0.585913
502, cost: 0.581328
503, cost: 0.581027
504, cost: 0.580045
505, cost: 0.578444
506, cost: 0.577257
507, cost: 0.575299
508, cost: 0.575331
509, cost: 0.575723
510, cost: 0.572892
511, cost: 0.582662
512, cost: 0.578558
513, cost: 0.577504
514, cost: 0.575167
515, cost: 0.573171
516, cost: 0.574232
517, cost: 0.572054
518, cost: 0.571274
519, cost: 0.569509
520, cost: 0.568496
521, cost: 0.582357
522, cost: 0.580246
523, cost: 0.578982
524, cost: 0.578396
525, cost: 0.573480
526, cost: 0.576829
527, cost: 0.574318
528, cost: 0.570146
529, cost: 0.570871
530, cost: 0.570471
531, cost: 0.583205
532, cost: 0.580506
533, cost: 0.579334
534, cost: 0.577627
535, cost: 0.575194
536, cost: 0.573653
537, cost: 0.572838
538, cost: 0.571704
539, cost: 0.571327
540, cost: 0.568892
541, cost: 0.583567
542, cost: 0.578295
543, cost: 0.577886
544, cost: 0.575598
545, cost: 0.575195
546, cost: 0.572035
547, cost: 0.571182
548, cost: 0.571045
549, cost: 0.568503
550, cost: 0.570539
551, cost: 0.582963
552, cost: 0.579707
553, cost: 0.576039
554, cost: 0.574708
555, cost: 0.574838
556, cost: 0.571731
557, cost: 0.571730
558, cost: 0.571656
559, cost: 0.567919
560, cost: 0.570847
561, cost: 0.578445
562, cost: 0.578404
563, cost: 0.575200
564, cost: 0.572811
565, cost: 0.571076
566, cost: 0.569686
567, cost: 0.569733
568, cost: 0.567360
569, cost: 0.568503
570, cost: 0.567907
571, cost: 0.579503
572, cost: 0.574844
573, cost: 0.573336
574, cost: 0.574401
575, cost: 0.571247
576, cost: 0.570443
577, cost: 0.568639
578, cost: 0.567455
579, cost: 0.567251
580, cost: 0.565156
581, cost: 0.578271
582, cost: 0.574369
583, cost: 0.572756
584, cost: 0.572078
585, cost: 0.568907
586, cost: 0.566595
587, cost: 0.567921
588, cost: 0.565620
589, cost: 0.566064
590, cost: 0.564259
591, cost: 0.580914
592, cost: 0.577136
593, cost: 0.575255
594, cost: 0.575603
595, cost: 0.571811
596, cost: 0.570588
597, cost: 0.569576
598, cost: 0.569700
599, cost: 0.565915
600, cost: 0.566525
601, cost: 0.577100
602, cost: 0.572365
603, cost: 0.569330
604, cost: 0.568973
605, cost: 0.565615
606, cost: 0.565364
607, cost: 0.564383
608, cost: 0.564551
609, cost: 0.563746
610, cost: 0.562310
611, cost: 0.577877
612, cost: 0.574791
613, cost: 0.573581
614, cost: 0.569955
615, cost: 0.570729
616, cost: 0.568713
617, cost: 0.569731
618, cost: 0.565005
619, cost: 0.565978
620, cost: 0.564127
621, cost: 0.579303
622, cost: 0.578045
623, cost: 0.574665
624, cost: 0.573350
625, cost: 0.570409
626, cost: 0.569556
627, cost: 0.567534
628, cost: 0.569241
629, cost: 0.567371
630, cost: 0.567204
631, cost: 0.579030
632, cost: 0.576180
633, cost: 0.573869
634, cost: 0.572676
635, cost: 0.568814
636, cost: 0.568763
637, cost: 0.567802
638, cost: 0.568254
639, cost: 0.566956
640, cost: 0.565870
641, cost: 0.574612
642, cost: 0.572563
643, cost: 0.571548
644, cost: 0.570757
645, cost: 0.569435
646, cost: 0.566079
647, cost: 0.568101
648, cost: 0.564490
649, cost: 0.562676
650, cost: 0.562729
651, cost: 0.573847
652, cost: 0.572612
653, cost: 0.569075
654, cost: 0.567732
655, cost: 0.565953
656, cost: 0.564633
657, cost: 0.563830
658, cost: 0.562487
659, cost: 0.561658
660, cost: 0.561039
661, cost: 0.578061
662, cost: 0.571476
663, cost: 0.571919
664, cost: 0.569669
665, cost: 0.568729
666, cost: 0.565532
667, cost: 0.564775
668, cost: 0.562319
669, cost: 0.563646
670, cost: 0.561335
671, cost: 0.575401
672, cost: 0.570966
673, cost: 0.569776
674, cost: 0.567650
675, cost: 0.565715
676, cost: 0.565514
677, cost: 0.564409
678, cost: 0.560693
679, cost: 0.561773
680, cost: 0.561998
681, cost: 0.559659
682, cost: 0.559714
683, cost: 0.556410
684, cost: 0.556629
685, cost: 0.556978
686, cost: 0.554861
687, cost: 0.555525
688, cost: 0.555041
689, cost: 0.554144
690, cost: 0.553478
691, cost: 0.576758
692, cost: 0.572756
693, cost: 0.573004
694, cost: 0.567925
695, cost: 0.566918
696, cost: 0.565464
697, cost: 0.565683
698, cost: 0.563465
699, cost: 0.562619
700, cost: 0.561041
701, cost: 0.578051
702, cost: 0.571489
703, cost: 0.570755
704, cost: 0.568724
705, cost: 0.565822
706, cost: 0.566653
707, cost: 0.565078
708, cost: 0.564120
709, cost: 0.564905
710, cost: 0.560818
711, cost: 0.575789
712, cost: 0.570330
713, cost: 0.566583
714, cost: 0.565842
715, cost: 0.565507
716, cost: 0.563414
717, cost: 0.563550
718, cost: 0.561974
719, cost: 0.559027
720, cost: 0.559043
721, cost: 0.575883
722, cost: 0.572906
723, cost: 0.570108
724, cost: 0.570311
725, cost: 0.567728
726, cost: 0.565150
727, cost: 0.565061
728, cost: 0.562414
729, cost: 0.562827
730, cost: 0.562679
731, cost: 0.571131
732, cost: 0.568970
733, cost: 0.566693
734, cost: 0.565379
735, cost: 0.564144
736, cost: 0.562831
737, cost: 0.560686
738, cost: 0.558798
739, cost: 0.559522
740, cost: 0.560066
741, cost: 0.570751
742, cost: 0.566822
743, cost: 0.563700
744, cost: 0.561969
745, cost: 0.560932
746, cost: 0.560897
747, cost: 0.558237
748, cost: 0.556161
749, cost: 0.556272
750, cost: 0.557470
751, cost: 0.573044
752, cost: 0.568985
753, cost: 0.568576
754, cost: 0.566594
755, cost: 0.564766
756, cost: 0.562952
757, cost: 0.560716
758, cost: 0.559852
759, cost: 0.561280
760, cost: 0.557755
761, cost: 0.562113
762, cost: 0.557492
763, cost: 0.556292
764, cost: 0.554372
765, cost: 0.553109
766, cost: 0.553673
767, cost: 0.552846
768, cost: 0.551149
769, cost: 0.549392
770, cost: 0.549553
771, cost: 0.574178
772, cost: 0.572417
773, cost: 0.566306
774, cost: 0.564725
775, cost: 0.563435
776, cost: 0.562121
777, cost: 0.560851
778, cost: 0.560379
779, cost: 0.559012
780, cost: 0.557242
781, cost: 0.569378
782, cost: 0.567922
783, cost: 0.566416
784, cost: 0.562112
785, cost: 0.561480
786, cost: 0.559429
787, cost: 0.556502
788, cost: 0.556910
789, cost: 0.556505
790, cost: 0.554854
791, cost: 0.569235
792, cost: 0.565986
793, cost: 0.565002
794, cost: 0.561219
795, cost: 0.562273
796, cost: 0.560188
797, cost: 0.558432
798, cost: 0.556465
799, cost: 0.556362
800, cost: 0.555720
801, cost: 0.568594
802, cost: 0.566632
803, cost: 0.563761
804, cost: 0.562894
805, cost: 0.562126
806, cost: 0.559476
807, cost: 0.558118
808, cost: 0.558651
809, cost: 0.557212
810, cost: 0.556533
811, cost: 0.567919
