train data: small + change data
mu = 0.001000, decay = 0.999900
activation function: ReLU
batch_size = 128
batch_num = 1024
3 layers: 69-256-256-48
1, cost: 1.009550
2, cost: 0.993928
3, cost: 0.983851
4, cost: 0.948121
5, cost: 0.905584
6, cost: 0.861644
7, cost: 0.836150
8, cost: 0.813173
9, cost: 0.802548
10, cost: 0.790016
11, cost: 0.782324
12, cost: 0.777647
13, cost: 0.773172
14, cost: 0.768315
15, cost: 0.762044
16, cost: 0.758767
17, cost: 0.753492
18, cost: 0.755272
19, cost: 0.748483
20, cost: 0.750687
21, cost: 0.748691
22, cost: 0.751325
23, cost: 0.751513
24, cost: 0.745835
25, cost: 0.741564
26, cost: 0.737556
27, cost: 0.737721
28, cost: 0.737210
29, cost: 0.734420
30, cost: 0.734313
31, cost: 0.734276
32, cost: 0.736086
33, cost: 0.732617
34, cost: 0.729266
35, cost: 0.726375
36, cost: 0.725900
37, cost: 0.723050
38, cost: 0.723371
39, cost: 0.722182
40, cost: 0.720047
41, cost: 0.719375
42, cost: 0.718470
43, cost: 0.716084
44, cost: 0.717183
45, cost: 0.716574
46, cost: 0.712604
47, cost: 0.713728
48, cost: 0.708985
49, cost: 0.712379
50, cost: 0.707419
51, cost: 0.706206
52, cost: 0.705714
53, cost: 0.702927
54, cost: 0.703793
55, cost: 0.705327
56, cost: 0.703148
57, cost: 0.703909
58, cost: 0.699116
59, cost: 0.700397
60, cost: 0.702604
61, cost: 0.705746
62, cost: 0.703769
63, cost: 0.699581
64, cost: 0.700939
65, cost: 0.699535
66, cost: 0.696067
67, cost: 0.693587
68, cost: 0.696830
69, cost: 0.698483
70, cost: 0.696355
71, cost: 0.698014
72, cost: 0.695847
73, cost: 0.692805
74, cost: 0.692532
75, cost: 0.690958
76, cost: 0.691191
77, cost: 0.690799
78, cost: 0.687167
79, cost: 0.690097
80, cost: 0.686572
81, cost: 0.692705
82, cost: 0.691949
83, cost: 0.688848
84, cost: 0.690382
85, cost: 0.685458
86, cost: 0.685785
87, cost: 0.686553
88, cost: 0.682394
89, cost: 0.682948
90, cost: 0.682688
91, cost: 0.683913
92, cost: 0.684039
93, cost: 0.683292
94, cost: 0.683732
95, cost: 0.683671
96, cost: 0.683317
97, cost: 0.681566
98, cost: 0.680865
99, cost: 0.679858
100, cost: 0.678434
101, cost: 0.683624
102, cost: 0.681416
103, cost: 0.681218
104, cost: 0.678360
105, cost: 0.677650
106, cost: 0.677983
107, cost: 0.676775
108, cost: 0.680876
109, cost: 0.676306
110, cost: 0.678029
111, cost: 0.673847
112, cost: 0.674079
113, cost: 0.673523
114, cost: 0.671618
115, cost: 0.671425
116, cost: 0.671408
117, cost: 0.672199
118, cost: 0.669953
119, cost: 0.670850
120, cost: 0.665856
121, cost: 0.674749
122, cost: 0.671706
123, cost: 0.669050
124, cost: 0.672127
125, cost: 0.669700
126, cost: 0.666368
127, cost: 0.667082
128, cost: 0.669848
129, cost: 0.666598
130, cost: 0.666093
131, cost: 0.664579
132, cost: 0.663766
133, cost: 0.661864
134, cost: 0.662582
135, cost: 0.661572
136, cost: 0.663499
137, cost: 0.663275
138, cost: 0.662985
139, cost: 0.662117
140, cost: 0.660863
141, cost: 0.663892
142, cost: 0.663041
143, cost: 0.660596
144, cost: 0.660608
145, cost: 0.655573
146, cost: 0.656060
147, cost: 0.654887
148, cost: 0.654552
149, cost: 0.655180
150, cost: 0.653960
151, cost: 0.652946
152, cost: 0.654107
153, cost: 0.652143
154, cost: 0.651937
155, cost: 0.654046
156, cost: 0.649880
157, cost: 0.651832
158, cost: 0.651756
159, cost: 0.650066
160, cost: 0.652444
161, cost: 0.658876
162, cost: 0.657814
163, cost: 0.654703
164, cost: 0.657130
165, cost: 0.656041
166, cost: 0.654998
167, cost: 0.653148
168, cost: 0.651713
169, cost: 0.651182
170, cost: 0.653412
171, cost: 0.651039
172, cost: 0.650063
173, cost: 0.650544
174, cost: 0.649055
175, cost: 0.647991
176, cost: 0.645965
177, cost: 0.644189
178, cost: 0.646001
179, cost: 0.646717
180, cost: 0.646320
181, cost: 0.652326
182, cost: 0.647856
183, cost: 0.647759
184, cost: 0.648568
185, cost: 0.646281
186, cost: 0.646123
187, cost: 0.646250
188, cost: 0.646117
189, cost: 0.645513
190, cost: 0.643522
191, cost: 0.643549
192, cost: 0.641789
193, cost: 0.643327
194, cost: 0.641233
195, cost: 0.642551
196, cost: 0.641325
197, cost: 0.639655
198, cost: 0.641108
199, cost: 0.639548
200, cost: 0.640527
201, cost: 0.650853
202, cost: 0.646879
203, cost: 0.645622
204, cost: 0.644331
205, cost: 0.644606
206, cost: 0.643740
207, cost: 0.641556
208, cost: 0.641877
209, cost: 0.641220
210, cost: 0.641249
211, cost: 0.641119
212, cost: 0.641942
213, cost: 0.640538
214, cost: 0.640691
215, cost: 0.638165
216, cost: 0.639464
217, cost: 0.638324
218, cost: 0.637579
219, cost: 0.637714
220, cost: 0.635326
221, cost: 0.643480
222, cost: 0.641005
223, cost: 0.641126
224, cost: 0.639863
225, cost: 0.636846
226, cost: 0.636127
227, cost: 0.637953
228, cost: 0.635320
229, cost: 0.636330
230, cost: 0.635529
231, cost: 0.635827
232, cost: 0.634492
233, cost: 0.632037
234, cost: 0.631450
235, cost: 0.634967
236, cost: 0.632848
237, cost: 0.632368
238, cost: 0.632296
239, cost: 0.631174
240, cost: 0.630679
241, cost: 0.640505
