train data: all
eta =  0.2
mu = eta / ((i+1) ** 0.5)
batch_size =  256
batch_num =  1024
3 layers: 69-256-256-48
start training
0  cost:  1.02647590183
1  cost:  0.984221989755
2  cost:  0.982407705742
3  cost:  0.98241719848
4  cost:  0.979067338165
5  cost:  0.979408517829
6  cost:  0.978657113446
7  cost:  0.974880086898
8  cost:  0.971732489474
9  cost:  0.963635671593
10  cost:  0.956667824415
11  cost:  0.949198100541
12  cost:  0.930303829431
13  cost:  0.905369614193
14  cost:  0.886289401213
15  cost:  0.87955550605
16  cost:  0.867022493272
17  cost:  0.855691341043
18  cost:  0.849788860534
19  cost:  0.832712446922
20  cost:  0.826016345585
21  cost:  0.820458548318
22  cost:  0.818018211226
23  cost:  0.810230504139
24  cost:  0.807515731954
25  cost:  0.791546869499
26  cost:  0.773375612975
27  cost:  0.770504896005
28  cost:  0.766334012558
29  cost:  0.763613825722
30  cost:  0.759090142965
31  cost:  0.758367348521
32  cost:  0.755203963665
33  cost:  0.757072792039
34  cost:  0.752782640513
35  cost:  0.75143644592
36  cost:  0.747622006747
37  cost:  0.744732410123
38  cost:  0.743830381776
39  cost:  0.741009054414
40  cost:  0.733517089917
41  cost:  0.722677881306
42  cost:  0.721563740168
43  cost:  0.72024317499
44  cost:  0.717477129074
45  cost:  0.713705499424
46  cost:  0.713181336178
47  cost:  0.711883693468
48  cost:  0.709710727213
49  cost:  0.708924590726
50  cost:  0.708090515574
51  cost:  0.705147239845
52  cost:  0.70368764241
53  cost:  0.702335797192
54  cost:  0.700303497317
55  cost:  0.700952506042
56  cost:  0.699293786834
57  cost:  0.697353326483
58  cost:  0.696203893516
59  cost:  0.697386997228
60  cost:  0.69551567774
61  cost:  0.695321910083
62  cost:  0.695052959723
63  cost:  0.694493434799
64  cost:  0.697161679796
65  cost:  0.693355936208
66  cost:  0.69309154147
67  cost:  0.688802545483
68  cost:  0.684578708606
69  cost:  0.6787273644
70  cost:  0.677233711933
71  cost:  0.674999533629
72  cost:  0.67359394161
73  cost:  0.674841244065
74  cost:  0.674134270113
75  cost:  0.672692348016
76  cost:  0.671672686527
77  cost:  0.670681863965
78  cost:  0.670031388465
79  cost:  0.668345855374
80  cost:  0.667602842557
81  cost:  0.664964634867
82  cost:  0.668348259467
83  cost:  0.66538243799
84  cost:  0.664031594002
85  cost:  0.662152621371
86  cost:  0.663825275435
87  cost:  0.66369192698
88  cost:  0.660378038185
89  cost:  0.661707856751
90  cost:  0.660350308986
91  cost:  0.659001650172
92  cost:  0.656919301895
93  cost:  0.658783006191
94  cost:  0.657742163457
95  cost:  0.655780113011
96  cost:  0.655550598109
97  cost:  0.654273939028
98  cost:  0.654167993926
99  cost:  0.655320076912
100  cost:  0.653374838643
101  cost:  0.652479836077
102  cost:  0.651101602532
103  cost:  0.652521284646
104  cost:  0.649903837068
105  cost:  0.650559468078
106  cost:  0.649158123997
107  cost:  0.648349229363
108  cost:  0.64922785369
109  cost:  0.647140201239
110  cost:  0.648038727522
111  cost:  0.64781016222
112  cost:  0.647848865134
113  cost:  0.647660826973
114  cost:  0.646290554199
115  cost:  0.64621102775
116  cost:  0.64656428725
117  cost:  0.644212676154
118  cost:  0.644725274935
119  cost:  0.642681871599
120  cost:  0.642699870048
121  cost:  0.641393597936
122  cost:  0.641309167549
123  cost:  0.643686739786
124  cost:  0.640628337569
125  cost:  0.640645066509
126  cost:  0.640797606204
127  cost:  0.640149782295
128  cost:  0.639525329578
129  cost:  0.640414706373
130  cost:  0.639112953795
131  cost:  0.639937914733
132  cost:  0.639313698688
133  cost:  0.637544548779
134  cost:  0.638780993235
135  cost:  0.638356376032
136  cost:  0.63742880564
137  cost:  0.635263377044
138  cost:  0.635897857486
139  cost:  0.635988290771
140  cost:  0.637165706314
141  cost:  0.635806444276
142  cost:  0.636103684781
143  cost:  0.634728138626
144  cost:  0.634342783771
145  cost:  0.635516112496
146  cost:  0.63550802524
147  cost:  0.636454395717
148  cost:  0.636232889839
149  cost:  0.634728354285
150  cost:  0.635554544162
151  cost:  0.634254180535
152  cost:  0.635022901173
153  cost:  0.635109093739
154  cost:  0.635172186012
155  cost:  0.634599299578
156  cost:  0.634618483833
157  cost:  0.633238437644
158  cost:  0.634023555496
159  cost:  0.633111770905
160  cost:  0.631741257501
161  cost:  0.63151216472
162  cost:  0.632788791321
163  cost:  0.629592142883
164  cost:  0.629551513528
165  cost:  0.627931376395
166  cost:  0.62805083947
167  cost:  0.628105723998
