start training
mu =  0.01
mu -= 0.00001
batch_size =  128
batch_num =  1000
0  cost:  1.00659306467
1  cost:  0.963712013483
2  cost:  0.936983262002
3  cost:  0.908397257388
4  cost:  0.873163752735
5  cost:  0.850613554299
6  cost:  0.840482299089
7  cost:  0.829602216482
8  cost:  0.816795885742
9  cost:  0.798354366422
10  cost:  0.788978101194
11  cost:  0.783815656781
12  cost:  0.778497245789
13  cost:  0.773359550595
14  cost:  0.76929964608
15  cost:  0.77013215965
16  cost:  0.769106268585
17  cost:  0.764539161325
18  cost:  0.76183401221
19  cost:  0.758983543038
20  cost:  0.757140728235
21  cost:  0.75228669399
22  cost:  0.75159216398
23  cost:  0.750073916554
24  cost:  0.746874669909
25  cost:  0.747729269028
26  cost:  0.742265400171
27  cost:  0.743564157844
28  cost:  0.739900813878
29  cost:  0.739552586138
30  cost:  0.740002269208
31  cost:  0.735196353555
32  cost:  0.735841195107
33  cost:  0.734201942146
34  cost:  0.735505227089
35  cost:  0.730626106977
36  cost:  0.732848316789
37  cost:  0.729952740252
38  cost:  0.727954492986
39  cost:  0.726403207958
40  cost:  0.728415150523
41  cost:  0.728112884462
42  cost:  0.727345016479
43  cost:  0.729700302362
44  cost:  0.726838359892
45  cost:  0.729024576724
46  cost:  0.725823533177
47  cost:  0.723010492444
48  cost:  0.721858416498
49  cost:  0.72347384429
50  cost:  0.72301317054
51  cost:  0.721136963964
52  cost:  0.719850080431
53  cost:  0.716366730094
54  cost:  0.718404876769
55  cost:  0.718161282659
56  cost:  0.717493868172
57  cost:  0.714370429575
58  cost:  0.713855538428
59  cost:  0.71792176497
60  cost:  0.714690645218
61  cost:  0.713622908771
62  cost:  0.71279296726
63  cost:  0.712462625265
64  cost:  0.712348345637
65  cost:  0.711575726926
66  cost:  0.708701038361
67  cost:  0.708888077259
68  cost:  0.710590234399
69  cost:  0.710845855415
70  cost:  0.70660352087
71  cost:  0.706115313113
72  cost:  0.705894591331
73  cost:  0.708124108255
74  cost:  0.70738249886
75  cost:  0.709783908427
76  cost:  0.70765993458
77  cost:  0.706028657377
78  cost:  0.707740329266
79  cost:  0.708783877134
80  cost:  0.706471683562
81  cost:  0.705742913067
82  cost:  0.701481553137
83  cost:  0.702818890631
84  cost:  0.702871199429
85  cost:  0.702676412582
86  cost:  0.701552148521
87  cost:  0.700962206244
88  cost:  0.701309294522
89  cost:  0.700597372711
90  cost:  0.701364118576
91  cost:  0.702124923646
