train data: small + change data
mu = 0.001000, decay = 0.999900
activation function: ReLU
batch_size = 128
batch_num = 1024
3 layers: 69-256-256-48
285, cost: 0.616975
286, cost: 0.615233
287, cost: 0.616807
288, cost: 0.615593
289, cost: 0.616134
290, cost: 0.613366
291, cost: 0.609644
292, cost: 0.612614
293, cost: 0.610982
294, cost: 0.613307
295, cost: 0.609357
296, cost: 0.607826
297, cost: 0.607151
298, cost: 0.607845
299, cost: 0.606829
300, cost: 0.606321
301, cost: 0.615643
302, cost: 0.609976
303, cost: 0.608899
304, cost: 0.607840
305, cost: 0.607855
306, cost: 0.605942
307, cost: 0.604708
308, cost: 0.606422
309, cost: 0.606413
310, cost: 0.603093
311, cost: 0.603197
312, cost: 0.603166
313, cost: 0.605875
314, cost: 0.604088
315, cost: 0.599735
316, cost: 0.599613
317, cost: 0.596965
318, cost: 0.598698
319, cost: 0.597751
320, cost: 0.596905
321, cost: 0.613803
322, cost: 0.609788
323, cost: 0.610446
324, cost: 0.607088
325, cost: 0.608094
326, cost: 0.606150
327, cost: 0.607629
328, cost: 0.604608
329, cost: 0.601843
330, cost: 0.599889
331, cost: 0.602144
332, cost: 0.601529
333, cost: 0.600191
334, cost: 0.599838
335, cost: 0.598429
336, cost: 0.602305
337, cost: 0.597004
338, cost: 0.597365
339, cost: 0.599051
340, cost: 0.600087
341, cost: 0.612860
342, cost: 0.609026
343, cost: 0.606678
344, cost: 0.605279
345, cost: 0.603356
346, cost: 0.599194
347, cost: 0.601259
348, cost: 0.599967
349, cost: 0.599259
350, cost: 0.600100
351, cost: 0.598438
352, cost: 0.594959
353, cost: 0.595913
354, cost: 0.595854
355, cost: 0.595557
356, cost: 0.594679
357, cost: 0.593475
358, cost: 0.592348
359, cost: 0.592461
360, cost: 0.592326
361, cost: 0.610437
362, cost: 0.607301
363, cost: 0.604600
364, cost: 0.603964
365, cost: 0.599013
366, cost: 0.597927
367, cost: 0.597239
368, cost: 0.598114
369, cost: 0.597180
370, cost: 0.596638
371, cost: 0.595612
372, cost: 0.593432
373, cost: 0.597117
374, cost: 0.595042
375, cost: 0.589138
376, cost: 0.594202
377, cost: 0.591077
378, cost: 0.589251
379, cost: 0.590372
380, cost: 0.592624
381, cost: 0.606903
382, cost: 0.602732
383, cost: 0.600608
384, cost: 0.599433
385, cost: 0.599951
386, cost: 0.597094
387, cost: 0.597063
388, cost: 0.596858
389, cost: 0.595877
390, cost: 0.592237
391, cost: 0.592344
392, cost: 0.595423
393, cost: 0.592249
394, cost: 0.592245
395, cost: 0.591056
396, cost: 0.594099
397, cost: 0.593872
398, cost: 0.590428
399, cost: 0.590026
400, cost: 0.588537
401, cost: 0.605240
402, cost: 0.601084
403, cost: 0.597482
404, cost: 0.600781
405, cost: 0.597165
406, cost: 0.595428
407, cost: 0.592311
408, cost: 0.592227
409, cost: 0.593414
410, cost: 0.591719
411, cost: 0.591291
412, cost: 0.590390
413, cost: 0.586750
414, cost: 0.588168
415, cost: 0.586329
416, cost: 0.587190
417, cost: 0.586307
418, cost: 0.584226
419, cost: 0.585597
420, cost: 0.585533
421, cost: 0.603056
422, cost: 0.596771
423, cost: 0.595444
424, cost: 0.595616
425, cost: 0.592527
426, cost: 0.591841
427, cost: 0.592568
428, cost: 0.588539
429, cost: 0.587907
430, cost: 0.588661
431, cost: 0.589390
432, cost: 0.585366
433, cost: 0.587369
434, cost: 0.584550
435, cost: 0.585756
436, cost: 0.584659
437, cost: 0.585132
438, cost: 0.581536
439, cost: 0.582056
440, cost: 0.581195
441, cost: 0.597939
442, cost: 0.592843
443, cost: 0.591954
444, cost: 0.589489
445, cost: 0.590583
446, cost: 0.588944
447, cost: 0.588538
448, cost: 0.585671
449, cost: 0.589292
450, cost: 0.584465
451, cost: 0.582714
452, cost: 0.580666
453, cost: 0.585597
454, cost: 0.582060
455, cost: 0.583216
456, cost: 0.581996
457, cost: 0.580457
458, cost: 0.581242
459, cost: 0.578377
460, cost: 0.576440
461, cost: 0.594281
462, cost: 0.591014
463, cost: 0.587073
464, cost: 0.589263
465, cost: 0.589835
466, cost: 0.582849
467, cost: 0.584565
468, cost: 0.585733
469, cost: 0.582908
470, cost: 0.577995
471, cost: 0.578586
472, cost: 0.575893
473, cost: 0.579563
474, cost: 0.577547
475, cost: 0.576268
476, cost: 0.579723
477, cost: 0.573277
478, cost: 0.574007
479, cost: 0.572140
480, cost: 0.572391
481, cost: 0.597518
482, cost: 0.591058
483, cost: 0.591977
484, cost: 0.590114
485, cost: 0.587600
486, cost: 0.586454
487, cost: 0.586249
488, cost: 0.584202
489, cost: 0.583381
490, cost: 0.582131
491, cost: 0.580993
492, cost: 0.580525
493, cost: 0.580640
494, cost: 0.580499
495, cost: 0.578973
496, cost: 0.577285
497, cost: 0.578083
498, cost: 0.574980
499, cost: 0.577715
500, cost: 0.575299
501, cost: 0.595084
502, cost: 0.592033
503, cost: 0.590078
504, cost: 0.591485
505, cost: 0.587471
506, cost: 0.586826
507, cost: 0.586969
508, cost: 0.582807
509, cost: 0.585223
510, cost: 0.581808
511, cost: 0.580859
512, cost: 0.583370
513, cost: 0.580973
514, cost: 0.580609
515, cost: 0.578997
516, cost: 0.577618
517, cost: 0.581874
518, cost: 0.577147
519, cost: 0.575663
520, cost: 0.576921
521, cost: 0.597558
522, cost: 0.591156
523, cost: 0.587674
524, cost: 0.588934
525, cost: 0.585265
526, cost: 0.587449
527, cost: 0.584494
528, cost: 0.581428
529, cost: 0.581473
530, cost: 0.582593
531, cost: 0.578116
532, cost: 0.580335
533, cost: 0.578224
534, cost: 0.575130
535, cost: 0.575986
536, cost: 0.575841
537, cost: 0.576259
538, cost: 0.574386
539, cost: 0.576092
540, cost: 0.576905
541, cost: 0.598291
542, cost: 0.592592
543, cost: 0.592723
544, cost: 0.587791
545, cost: 0.584783
546, cost: 0.585752
547, cost: 0.585173
548, cost: 0.583080
549, cost: 0.580277
550, cost: 0.582331
551, cost: 0.577570
