iteration,cost
457,2.438823
458,2.410579
459,2.432541
460,2.426657
461,2.458076
462,2.418443
463,2.430643
464,2.417191
465,2.424420
466,2.438084
467,2.408277
468,2.416716
469,2.408681
470,2.422860
471,2.419675
472,2.427142
473,2.399428
474,2.432218
475,2.421561
476,2.410366
477,2.423180
478,2.404698
479,2.389713
480,2.416436
481,2.392286
482,2.391101
483,2.394038
484,2.398830
485,2.398917
486,2.407491
487,2.408968
488,2.392792
489,2.412021
490,2.397008
491,2.380954
492,2.386786
493,2.393157
494,2.408693
495,2.386694
496,2.390759
497,2.390353
498,2.406109
499,2.385854
500,2.396093
501,2.370808
502,2.378297
503,2.373169
504,2.392726
505,2.341625
506,2.364052
507,2.359345
508,2.381175
509,2.354875
510,2.367284
511,2.386677
512,2.367271
513,2.378699
514,2.372385
515,2.382973
516,2.379728
517,2.344494
518,2.356066
519,2.399459
520,2.362179
521,2.371800
522,2.327714
523,2.358275
524,2.365005
525,2.361284
526,2.354439
527,2.373932
528,2.345134
529,2.343279
530,2.363100
531,2.363099
532,2.356144
533,2.329900
534,2.358973
535,2.341419
536,2.351593
537,2.329077
538,2.321198
539,2.356759
540,2.327220
541,2.333203
542,2.331417
543,2.340696
544,2.348864
545,2.354692
546,2.332590
547,2.376046
548,2.344731
549,2.333403
550,2.342426
551,2.314896
552,2.337307
553,2.325188
554,2.329266
555,2.330246
556,2.332670
557,2.338067
558,2.329219
559,2.342288
560,2.335747
561,2.324043
562,2.308301
563,2.352575
564,2.317573
565,2.321695
566,2.327625
567,2.290422
568,2.304059
569,2.314815
570,2.296109
571,2.302042
572,2.324655
573,2.311377
574,2.335973
575,2.317820
576,2.332859
577,2.312333
578,2.273863
579,2.309252
580,2.306483
581,2.305924
582,2.300658
583,2.292746
584,2.309122
585,2.310542
586,2.306953
587,2.290368
588,2.328701
589,2.309977
590,2.298766
591,2.305125
592,2.305924
593,2.300249
594,2.300066
595,2.300751
596,2.311405
597,2.275078
598,2.304745
599,2.320634
600,2.259399
601,2.305472
602,2.292782
603,2.279425
604,2.260150
605,2.251384
606,2.277697
607,2.298468
608,2.297382
609,2.283061
610,2.288189
611,2.285962
612,2.291704
613,2.292238
614,2.298399
615,2.271357
616,2.253161
617,2.289363
618,2.262550
619,2.299618
620,2.273157
621,2.272537
622,2.271422
623,2.285128
624,2.279650
625,2.268675
626,2.275861
627,2.254420
628,2.261079
629,2.283588
630,2.276172
631,2.263319
632,2.278602
633,2.255061
634,2.264912
635,2.245450
636,2.259912
637,2.268232
638,2.277436
639,2.256158
640,2.288121
641,2.263357
642,2.270711
643,2.240573
644,2.266276
645,2.267144
646,2.259092
647,2.263514
648,2.277572
649,2.247328
650,2.248100
651,2.254185
652,2.259369
653,2.281500
654,2.261910
655,2.259906
656,2.233988
657,2.265174
658,2.260882
659,2.275185
660,2.232040
661,2.242231
662,2.240415
663,2.250344
664,2.241131
665,2.289580
666,2.234933
667,2.248069
668,2.233050
669,2.267889
670,2.264225
671,2.240337
672,2.233162
673,2.234670
674,2.240314
675,2.241223
676,2.254084
677,2.251055
678,2.240236
679,2.228286
680,2.241822
681,2.241181
682,2.247467
683,2.242497
684,2.246240
685,2.235082
686,2.234564
687,2.237866
688,2.234135
689,2.247062
690,2.239920
691,2.245770
692,2.224363
693,2.238133
694,2.219211
695,2.246558
696,2.232247
697,2.232777
698,2.214225
699,2.223459
700,2.233312
701,2.233190
702,2.244832
703,2.228468
704,2.212962
705,2.222193
706,2.230413
707,2.246255
708,2.234224
709,2.219724
710,2.247264
711,2.238567
712,2.238869
713,2.246102
714,2.230611
715,2.227845
716,2.208099
717,2.225873
718,2.234998
719,2.210091
720,2.217565
721,2.210737
722,2.196384
723,2.195224
724,2.222785
725,2.194802
726,2.218569
727,2.232546
728,2.224410
729,2.212725
730,2.227261
731,2.224101
732,2.228962
733,2.218272
734,2.224860
735,2.232246
736,2.186637
737,2.216670
738,2.234425
739,2.198602
740,2.222112
741,2.190635
742,2.205160
743,2.231338
744,2.207819
745,2.232392
746,2.183911
747,2.200414
748,2.219387
749,2.226835
750,2.181688
751,2.205954
752,2.204065
753,2.196739
754,2.217503
755,2.215008
756,2.185737
757,2.195984
758,2.194412
759,2.192888
760,2.158828
761,2.207156
762,2.217876
763,2.209877
764,2.188161
765,2.213937
766,2.222739
767,2.218472
768,2.211147
769,2.176816
770,2.205564
771,2.229621
772,2.218212
773,2.169819
774,2.223778
775,2.200859
776,2.226155
777,2.188615
778,2.190183
779,2.215358
780,2.206943
781,2.204781
782,2.178254
783,2.224258
784,2.192776
785,2.200841
786,2.204159
787,2.214914
788,2.186899
789,2.183127
790,2.207096
791,2.183254
792,2.179364
793,2.206857
794,2.173332
795,2.189053
796,2.217126
797,2.185489
798,2.173586
799,2.175227
800,2.185162
801,2.173545
802,2.178611
803,2.190375
804,2.190596
805,2.181152
806,2.197665
807,2.165156
808,2.188420
809,2.144330
810,2.209462
811,2.196690
812,2.185155
813,2.208410
814,2.157762
815,2.186238
816,2.193672
817,2.191103
818,2.171233
819,2.182968
820,2.153990
821,2.201343
822,2.175705
823,2.168519
824,2.189971
825,2.185806
826,2.168616
827,2.214142
828,2.180104
829,2.160038
830,2.177266
831,2.212781
832,2.192146
833,2.192003
834,2.171131
835,2.176206
836,2.179694
837,2.181668
838,2.173804
839,2.170803
840,2.168787
841,2.180018
842,2.158418
843,2.164980
844,2.156611
845,2.175823
846,2.185211
847,2.172913
848,2.203119
849,2.158893
850,2.160575
851,2.166231
852,2.170699
853,2.170861
854,2.187341
855,2.170845
856,2.176596
857,2.175438
858,2.162281
859,2.154124
860,2.182213
861,2.154741
862,2.185465
863,2.170735
864,2.178900
865,2.167811
866,2.163418
867,2.155006
868,2.162986
869,2.151498
870,2.160651
871,2.154714
872,2.165849
873,2.162100
874,2.173607
875,2.150981
876,2.164664
877,2.140187
878,2.143885
879,2.174672
880,2.189475
881,2.134105
882,2.172893
883,2.173109
884,2.188283
885,2.150863
886,2.138427
887,2.140866
888,2.180224
889,2.185379
890,2.169163
891,2.147940
892,2.154186
893,2.143448
894,2.164150
895,2.169677
896,2.158139
897,2.163619
898,2.136730
899,2.178059
900,2.134491
901,2.169674
902,2.141491
903,2.144302
904,2.126215
905,2.178794
906,2.151931
907,2.143536
908,2.143123
909,2.156788
910,2.165444
911,2.138428
912,2.153572
913,2.146761
914,2.152163
915,2.150784
916,2.162332
917,2.162260
918,2.124868
919,2.165563
920,2.157723
921,2.128556
922,2.143865
923,2.150597
924,2.150147
925,2.140995
926,2.150434
927,2.127721
928,2.165975
929,2.145160
930,2.154338
931,2.135734
932,2.133400
933,2.154320
934,2.140414
935,2.133033
936,2.147861
937,2.144838
938,2.151122
939,2.130497
940,2.164355
941,2.176072
942,2.149102
943,2.154738
944,2.155065
945,2.143989
946,2.157073
947,2.158510
948,2.137739
949,2.139431
950,2.135822
951,2.121042
952,2.156031
953,2.152128
954,2.118805
955,2.143201
956,2.132330
957,2.122851
958,2.165936
959,2.129251
960,2.160314
961,2.126638
962,2.166617
963,2.128991
964,2.156581
965,2.161212
966,2.136633
967,2.132675
968,2.117858
969,2.126387
970,2.132050
971,2.138772
972,2.123117
973,2.150059
974,2.118142
975,2.110329
